20170829|13003|1210696
20170829|13009|12874097
20170829|13002|1216
20170829|13087|12873799
20170829|13001|891
20170829|13007|7125
20170829|13017|36417643
20170829|13008|425496
20170830|13009|12676832
20170830|13001|874
20170830|13003|1207936
20170830|13087|12675991
20170830|13007|7272
20170830|13008|407094
20170830|13017|36098990
20170830|13002|1117
20170831|13087|12558275
20170831|13003|1214259
20170831|13009|12558927
20170831|13002|1045
20170831|13017|36143897
20170831|13001|869
20170831|13008|369789
20170831|13007|6596
20170901|13007|5714
20170901|13009|11900334
20170901|13017|34292635
20170901|13008|324512
20170901|13087|11899760
20170901|13003|1264336
20170901|13001|842
20170901|13002|904
20170902|13009|12414670
20170902|13008|410263
20170902|13002|716
20170902|13003|1303197
20170902|13087|12414053
20170902|13007|5743
20170902|13017|34560134
20170902|13001|926
20170903|13003|1287093
20170903|13001|1137
20170903|13017|34419816
20170903|13009|12196268
20170903|13087|12195784
20170903|13007|24064
20170903|13002|6860
20170903|13008|473436
20170904|13002|1598
20170904|13087|12648331
20170904|13009|12648644
20170904|13007|11921
20170904|13001|1127
20170904|13008|470274
20170904|13003|1270180
20170904|13017|35918812
20170905|13007|3832
20170905|13009|4240635
20170905|13017|13141837
20170905|13002|585
20170905|13008|183631
20170905|13087|4239886
20170905|13001|382
