20170830|13001|874
20170830|13009|12676832
20170830|13027|4808710
20170830|13003|1207936
20170830|13002|1117
20170830|13007|7272
20170830|13008|407094
20170830|13017|36098990
20170830|13087|12675991
20170831|13002|1045
20170831|13001|869
20170831|13008|369789
20170831|13087|12558275
20170831|13003|1214259
20170831|13027|4808537
20170831|13009|12558927
20170831|13007|6596
20170831|13017|36143897
20170901|13002|904
20170901|13001|842
20170901|13003|1264336
20170901|13007|5714
20170901|13027|4808476
20170901|13017|34292635
20170901|13009|11900334
20170901|13087|11899760
20170901|13008|324512
20170902|13001|926
20170902|13009|12414670
20170902|13008|410263
20170902|13017|34560134
20170902|13007|5743
20170902|13087|12414053
20170902|13002|716
20170902|13027|4808686
20170902|13003|1303197
20170903|13008|473436
20170903|13087|12195784
20170903|13001|1137
20170903|13002|6860
20170903|13007|24064
20170903|13009|12196268
20170903|13003|1287093
20170903|13027|4802963
20170903|13017|34419816
20170904|13003|1270180
20170904|13027|4802491
20170904|13008|470274
20170904|13087|12648331
20170904|13001|1127
20170904|13009|12648644
20170904|13002|1598
20170904|13007|11921
20170904|13017|35918812
20170905|13017|36884923
20170905|13001|1198
20170905|13003|1268158
20170905|13009|12943830
20170905|13087|12942813
20170905|13027|4802300
20170905|13008|475485
20170905|13007|10574
20170905|13002|1389
20170906|13009|4276469
20170906|13087|4275345
20170906|13007|3304
20170906|13001|374
20170906|13002|557
20170906|13008|173288
20170906|13017|13112407
